period,"Atlanta-Sandy Springs-Marietta, GA Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area","Chicago-Joliet-Naperville, IL-IN-WI Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area","Houston-Sugar Land-Baytown, TX Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area","Miami-Fort Lauderdale-Miami Beach, FL Metropolitan Statistical Area","New York-Newark-Jersey City, NY-NJ-PA Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
2001-04-01,67.5723114809069,76.393851296808,66.3015749150996,70.1132573719825,69.9588419456723,60.9521829364495,60.8050305189824,63.128420491376,70.9650441242679,62.4131112429436
2001-07-01,67.2926492513882,75.5277510771989,66.7363977036628,70.1579623273477,69.7022850082148,61.4279638065491,60.8077786340977,63.365517622789,71.6024099141999,63.1299597549213
2001-10-01,67.0719310347295,76.0102202632886,68.0672104566677,69.743978088916,69.5873932361537,61.1925623414146,61.471179755905,63.7589338149718,71.9976364135133,63.9622131581969
2002-01-01,67.1830852959858,75.452801330623,68.4535888853911,68.7238614299836,69.8829627076454,61.3562328354271,62.1877114680362,63.9266029519047,71.868552501653,64.2987896407322
2002-04-01,67.4834601154744,74.6628122368049,68.1914444960692,67.6769595314131,70.122950818292,61.0380460695852,64.228132095459,64.5757642770292,72.4553054350616,63.7925679712803
2002-07-01,68.1599191376013,74.1703629698877,69.0139992555208,68.3982837027264,70.2040667033328,61.1736817905454,64.6629705985735,64.5369910443234,72.7788900502926,64.3372628956085
2002-10-01,68.297420080343,74.1640567301877,70.1637964793744,68.1900072073174,70.7668879882234,61.3886216540676,66.2702531321873,65.8789246027094,73.6011750493975,64.9606672999458
2003-01-01,68.2100943133184,74.6689173389291,70.5811479724765,68.5417803472919,71.0709804691508,62.1377394166535,67.3130690793365,67.5205078841224,73.8117909511434,66.3804381756504
2003-04-01,69.1207939924972,75.1864410957361,71.3931940540467,68.7180236246578,71.6829532429685,62.8592066376854,68.3226011914629,69.6040897487114,74.8894508476724,68.0165416439985
2003-07-01,70.1308081518378,75.0928251853917,71.8406719460791,68.7142162887705,72.542186669382,63.5425513818883,70.2335990287992,70.2964329551968,75.0873413456699,68.8712682970144
2003-10-01,70.3914268267912,75.4760290442235,72.0894792977463,69.2656504444553,73.1095659275322,65.7583539237366,70.7520124828017,70.2345698030105,76.8936427806259,69.8334410032186
2004-01-01,70.9079924822194,78.1098036866848,72.796928342204,70.0874011084135,74.1579510986337,69.8294347156115,71.1498041400023,70.3745456685626,79.8176095941467,71.9861005784001
2004-04-01,72.2126671705094,78.8930546219091,74.4405940138557,71.7979365091482,75.6149408816123,71.1007709298043,71.4413243731704,71.7446059079148,80.9606451964322,73.0502986388134
2004-07-01,72.6696110964988,79.4194125379446,75.7571428505603,72.9325839407408,78.1485073274764,74.5290889257638,73.1528142281229,74.5785687248352,82.5938052437431,75.2654182347995
2004-10-01,74.9082565656852,79.8350826432232,77.6902495308415,73.9010442915013,79.6467089062432,77.2201071294694,74.4175980334746,77.0902607952934,83.8981517963866,77.1788076676861
2005-01-01,78.0365534730048,82.5942427837973,79.9969421505033,75.2879439600231,81.0966778435159,79.6954177266044,76.8160805858598,78.1889189312444,86.2512927791368,80.1748874174317
2005-04-01,78.9700413339997,85.5614500032858,80.1885950263307,76.0830953789287,83.0591907391575,81.5320041638337,79.5610691954867,80.7308971185827,88.6018842954851,83.0851433653987
